qos,5
$SYS/broker/uptime,b'3568451 seconds',967026
$SYS/broker/clients/total,b'54',192
$SYS/broker/clients/inactive,b'3',122
$SYS/broker/clients/disconnected,b'3',106
$SYS/broker/clients/active,b'51',119
$SYS/broker/clients/connected,b'51',128
$SYS/broker/messages/stored,b'3155952',117
$SYS/broker/messages/received,b'3225926630',128
$SYS/broker/messages/sent,b'4562558557',151
$SYS/broker/subscriptions/count,b'108',247
$SYS/broker/retained messages/count,b'3417',209
$SYS/broker/heap/current,b'646819120',238
$SYS/broker/publish/messages/dropped,b'829150415',201
$SYS/broker/publish/messages/received,b'1495986093',165
$SYS/broker/publish/messages/sent,b'2131135068',111
$SYS/broker/publish/bytes/received,b'16613182111',99
$SYS/broker/publish/bytes/sent,b'15469502758',110
$SYS/broker/bytes/received,b'66374743198',112
$SYS/broker/bytes/sent,b'70081274099',114
$SYS/broker/load/messages/received/1min,b'34107.84',69
$SYS/broker/load/messages/received/5min,b'36623.69',63
$SYS/broker/load/messages/received/15min,b'37367.06',101
$SYS/broker/load/messages/sent/1min,b'256135.10',71
$SYS/broker/load/messages/sent/5min,b'292275.25',65
$SYS/broker/load/messages/sent/15min,b'296172.68',62
$SYS/broker/load/bytes/received/1min,b'541950.77',61
$SYS/broker/load/bytes/received/5min,b'550582.35',61
$SYS/broker/load/bytes/received/15min,b'552291.54',66
$SYS/broker/load/bytes/sent/1min,b'6902481.34',68
$SYS/broker/load/bytes/sent/5min,b'8108697.36',67
$SYS/broker/load/bytes/sent/15min,b'8267412.17',61
$SYS/broker/load/sockets/1min,b'121.16',66
$SYS/broker/load/sockets/5min,b'130.79',92374
$SYS/broker/load/sockets/15min,b'154.05',263
$SYS/broker/load/connections/1min,b'120.86',176
$SYS/broker/load/connections/5min,b'130.01',182
$SYS/broker/load/connections/15min,b'153.56',174
$SYS/broker/load/publish/sent/1min,b'227675.32',152
$SYS/broker/load/publish/sent/5min,b'261247.46',137
$SYS/broker/load/publish/sent/15min,b'264374.68',147
$SYS/broker/load/publish/received/1min,b'11377.24',177
$SYS/broker/load/publish/received/5min,b'11313.61',205
$SYS/broker/load/publish/received/15min,b'11303.03',166
$SYS/broker/load/publish/dropped/1min,b'45280.61',121
$SYS/broker/load/publish/dropped/5min,b'53602.15',97
$SYS/broker/load/publish/dropped/15min,b'60659.87',67
counter/fast/q2,b'1174907',618593
counter/fast/q2,b'1174908',307003
counter/fast/q2,b'1174909',351
counter/fast/q2,b'1174910',155
counter/fast/q2,b'1174911',186
counter/fast/q2,b'1174912',203
counter/fast/q2,b'1174913',240
counter/fast/q2,b'1174914',201
counter/fast/q2,b'1174915',217
counter/fast/q2,b'1174916',165
counter/fast/q2,b'1174917',219
counter/fast/q2,b'1174918',216
counter/fast/q2,b'1174919',170
counter/fast/q2,b'1174920',131
counter/fast/q2,b'1174921',114
counter/fast/q2,b'1174922',92
