qos,5
$SYS/broker/uptime,b'3569188 seconds',940371
$SYS/broker/clients/total,b'56',172
$SYS/broker/clients/inactive,b'3',127
$SYS/broker/clients/disconnected,b'3',167
$SYS/broker/clients/active,b'53',211
$SYS/broker/clients/connected,b'53',87
$SYS/broker/messages/stored,b'3156175',85
$SYS/broker/messages/received,b'3226354780',77
$SYS/broker/messages/sent,b'4566112927',81
$SYS/broker/subscriptions/count,b'116',69
$SYS/broker/retained messages/count,b'3442',66
$SYS/broker/heap/current,b'647075440',61
$SYS/broker/publish/messages/dropped,b'829724681',61
$SYS/broker/publish/messages/received,b'1496125156',128
$SYS/broker/publish/messages/sent,b'2134330194',105
$SYS/broker/publish/bytes/received,b'16614637589',126
$SYS/broker/publish/bytes/sent,b'15494715233',105
$SYS/broker/bytes/received,b'66381388587',220
$SYS/broker/bytes/sent,b'70179795175',170
$SYS/broker/load/messages/received/1min,b'35920.66',110
$SYS/broker/load/messages/received/5min,b'35608.95',206
$SYS/broker/load/messages/received/15min,b'36086.06',190
$SYS/broker/load/messages/sent/1min,b'296391.35',136
$SYS/broker/load/messages/sent/5min,b'294449.48',133
$SYS/broker/load/messages/sent/15min,b'293727.90',103
$SYS/broker/load/bytes/received/1min,b'543598.16',97
$SYS/broker/load/bytes/received/5min,b'543688.01',93
$SYS/broker/load/bytes/received/15min,b'546374.66',103
$SYS/broker/load/bytes/sent/1min,b'8242075.56',103
$SYS/broker/load/bytes/sent/5min,b'8169316.53',99
$SYS/broker/load/bytes/sent/15min,b'8168929.18',101
$SYS/broker/load/sockets/1min,b'80.00',98
$SYS/broker/load/sockets/5min,b'88.34',96492
$SYS/broker/load/sockets/15min,b'115.98',1777
$SYS/broker/load/connections/1min,b'80.02',97
$SYS/broker/load/connections/5min,b'87.93',69
$SYS/broker/load/connections/15min,b'115.36',900
$SYS/broker/load/publish/sent/1min,b'266072.01',259
$SYS/broker/load/publish/sent/5min,b'264436.79',134
$SYS/broker/load/publish/sent/15min,b'263230.81',134
$SYS/broker/load/publish/received/1min,b'11310.19',115
$SYS/broker/load/publish/received/5min,b'11314.27',212
$SYS/broker/load/publish/received/15min,b'11311.94',101
